earliestTime,eventCount,host,hostCount,id,latestTime,modTime,"orig_index",path,rawSize,sizeOnDiskMB,sourceCount,sourcetypeCount,state
"07/03/2013:04:40:37",196509,"mon-prod-logidx-2",847,185,"07/03/2013:04:50:21","07/03/2013:15:46:25","_internal","/data/cold/_internaldb/colddb/rb_1372845021_1372844437_185_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",38265507,"23.941406",16,,cold
"06/29/2013:11:07:30",46942,"mon-prod-logidx-2",86,185,"07/01/2013:16:27:15","07/02/2013:20:15:16","_internal","/data/hot/_internaldb/db/db_1372714035_1372522050_185_3516763C-B78A-4885-8543-C9A1383A5392",5001995,"2.554688",1,,warm
"07/02/2013:18:30:53",377300,"mon-prod-logidx-2",764,184,"07/02/2013:23:24:13","07/03/2013:22:03:14","_internal","/data/cold/_internaldb/colddb/rb_1372825453_1372807853_184_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",51512664,"32.507812",14,,cold
"07/02/2013:11:03:25",479812,"mon-prod-logidx-2",682,184,"07/02/2013:12:35:22","07/02/2013:23:26:51","_internal","/data/cold/_internaldb/colddb/rb_1372786522_1372781005_184_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",101821580,"53.394531",17,,cold
"07/03/2013:03:40:37",475951,"mon-prod-logidx-2",846,184,"07/03/2013:04:40:36","07/03/2013:06:43:23","_internal","/data/cold/_internaldb/colddb/rb_1372844436_1372840837_184_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",116596395,"56.851562",17,,cold
"07/02/2013:12:20:49",466623,"mon-prod-logidx-2",861,184,"07/02/2013:13:20:50","07/02/2013:23:28:10","_internal","/data/hot/_internaldb/db/db_1372789250_1372785649_184_3516763C-B78A-4885-8543-C9A1383A5392",108079942,"61.769531",20,,warm
"07/02/2013:19:20:51",457637,"mon-prod-logidx-2",831,183,"07/02/2013:20:15:32","07/02/2013:23:26:59","_internal","/data/cold/_internaldb/colddb/rb_1372814132_1372810851_183_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",110829501,"53.812500",16,,cold
"07/02/2013:09:24:25",447722,"mon-prod-logidx-2",473,183,"07/02/2013:11:03:24","07/03/2013:22:03:06","_internal","/data/cold/_internaldb/colddb/rb_1372781004_1372775065_183_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",101204046,"55.257812",19,,cold
"07/03/2013:02:40:28",505490,"mon-prod-logidx-2",854,183,"07/03/2013:03:40:36","07/03/2013:15:46:43","_internal","/data/cold/_internaldb/colddb/rb_1372840836_1372837228_183_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",128747375,"64.824219",17,,cold
"07/02/2013:10:47:48",436591,"mon-prod-logidx-2",478,183,"07/02/2013:12:20:48","07/02/2013:19:22:02","_internal","/data/hot/_internaldb/db/db_1372785648_1372780068_183_3516763C-B78A-4885-8543-C9A1383A5392",98011841,"54.167969",19,,warm
"07/02/2013:18:20:15",516795,"mon-prod-logidx-2",840,182,"07/02/2013:19:20:50","07/02/2013:20:17:32","_internal","/data/cold/_internaldb/colddb/rb_1372810850_1372807215_182_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",128668496,"64.585938",20,,cold
"07/02/2013:07:45:24",440162,"mon-prod-logidx-2",473,182,"07/02/2013:09:24:24","07/03/2013:22:03:00","_internal","/data/cold/_internaldb/colddb/rb_1372775064_1372769124_182_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",98385469,"53.667969",17,,cold
"07/03/2013:01:40:27",526833,"mon-prod-logidx-2",845,182,"07/03/2013:02:40:27","07/03/2013:06:43:01","_internal","/data/cold/_internaldb/colddb/rb_1372837227_1372833627_182_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",133070430,"63.312500",19,,cold
"07/02/2013:09:12:46",439463,"mon-prod-logidx-2",471,182,"07/02/2013:10:47:47","07/02/2013:18:21:03","_internal","/data/hot/_internaldb/db/db_1372780067_1372774366_182_3516763C-B78A-4885-8543-C9A1383A5392",99018246,"52.601562",22,,warm
"07/02/2013:17:20:15",566062,"mon-prod-logidx-2",853,181,"07/02/2013:18:20:14","07/03/2013:15:45:54","_internal","/data/cold/_internaldb/colddb/rb_1372807214_1372803615_181_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",142916300,"67.593750",17,,cold
"07/02/2013:06:08:24",447778,"mon-prod-logidx-2",484,181,"07/02/2013:07:45:23","07/03/2013:15:45:33","_internal","/data/cold/_internaldb/colddb/rb_1372769123_1372763304_181_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",100567192,"54.761719",20,,cold
"07/03/2013:00:40:01",508997,"mon-prod-logidx-2",829,181,"07/03/2013:01:40:26","07/03/2013:04:40:35","_internal","/data/cold/_internaldb/colddb/rb_1372833626_1372830001_181_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",127587521,"63.593750",20,,cold
"07/02/2013:07:34:30",444755,"mon-prod-logidx-2",474,181,"07/02/2013:09:12:45","07/02/2013:17:21:57","_internal","/data/hot/_internaldb/db/db_1372774365_1372768470_181_3516763C-B78A-4885-8543-C9A1383A5392",99175202,"52.359375",16,,warm
"07/02/2013:16:20:15",570689,"mon-prod-logidx-2",848,180,"07/02/2013:17:20:14","07/02/2013:20:17:28","_internal","/data/cold/_internaldb/colddb/rb_1372803614_1372800015_180_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",144860605,"71.894531",27,,cold
"07/02/2013:04:29:24",432538,"mon-prod-logidx-2",472,180,"07/02/2013:06:08:23","07/03/2013:15:45:11","_internal","/data/cold/_internaldb/colddb/rb_1372763303_1372757364_180_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",97005554,"51.933594",19,,cold
"06/29/2013:11:41:05",2,"mon-prod-logidx-2",1,180,"06/29/2013:11:41:05","07/03/2013:22:02:41","_internal","/data/cold/_internaldb/colddb/rb_1372524065_1372524065_180_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",182,"0.023438",1,,cold
"07/02/2013:05:55:32",454377,"mon-prod-logidx-2",484,180,"07/02/2013:07:34:29","07/02/2013:23:28:27","_internal","/data/hot/_internaldb/db/db_1372768469_1372762532_180_3516763C-B78A-4885-8543-C9A1383A5392",102033043,"55.058594",17,,warm
"06/09/2013:20:50:04",561708,"mon-prod-logidx-2",11,17,"06/11/2013:19:28:50","07/03/2013:15:45:05","_internal","/data/cold/_internaldb/colddb/rb_1370996930_1370829004_17_3516763C-B78A-4885-8543-C9A1383A5392",110668452,"53.812500",7,,cold
"07/02/2013:15:20:15",529758,"mon-prod-logidx-2",857,179,"07/02/2013:16:20:14","07/03/2013:22:02:46","_internal","/data/cold/_internaldb/colddb/rb_1372800014_1372796415_179_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",134127838,"66.910156",18,,cold
"07/02/2013:02:48:24",444791,"mon-prod-logidx-2",475,179,"07/02/2013:04:29:23","07/03/2013:22:02:40","_internal","/data/cold/_internaldb/colddb/rb_1372757363_1372751304_179_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",100430052,"54.652344",21,,cold
"07/02/2013:23:39:25",544514,"mon-prod-logidx-2",835,179,"07/03/2013:00:40:00","07/03/2013:04:40:36","_internal","/data/cold/_internaldb/colddb/rb_1372830000_1372826365_179_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",140507713,"69.058594",15,,cold
"07/02/2013:04:15:32",450869,"mon-prod-logidx-2",473,179,"07/02/2013:05:55:31","07/02/2013:16:21:59","_internal","/data/hot/_internaldb/db/db_1372762531_1372756532_179_3516763C-B78A-4885-8543-C9A1383A5392",100492745,"53.195312",19,,warm
"07/02/2013:14:19:51",564840,"mon-prod-logidx-2",855,178,"07/02/2013:15:20:14","07/02/2013:20:17:26","_internal","/data/cold/_internaldb/colddb/rb_1372796414_1372792791_178_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",145084138,"80.171875",18,,cold
