"_raw","_time",bucketId,"change_type","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",endEpoch,eventCount,eventtype,guId,host,hostCount,id,index,"info_max_time","info_search_time",linecount,modTime,"orig_host","orig_index",path,product,range,rawSize,"search_name","search_now",sizeOnDiskMB,source,sourceCount,sourceTypeCount,sourcetype,"splunk_server",startEpoch,state,status,tag,"tag::eventtype",timeendpos,timestartpos,"unix_category","unix_group",vendor
"11/01/2013 00:02:01 -0700, search_name=""DB inspection"", search_now=1383289320.000, info_max_time=1383289320.000, info_search_time=1383289321.464, bucketId=""_audit~9~9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", endEpoch=1380818910, eventCount=253860, guId=""9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", hostCount=1, id=9, orig_index=_audit, modTime=""10/03/2013:10:15:21"", orig_host=""so-splunky.local"", path=""/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1380818910_1379592197_9"", rawSize=103507801, sizeOnDiskMB=""54.351562"", sourceCount=1, sourceTypeCount=1, startEpoch=1379592197, state=warm","2013-11-01T00:02:01.000-0700","_audit~9~9A13FFBA-883F-42DB-AD42-2651CCEAA43F",,0,1,2,november,1,friday,2013,"-420",1380818910,253860,,"9A13FFBA-883F-42DB-AD42-2651CCEAA43F","so-splunky.local",1,9,summary,"1383289320.000","1383289321.464",1,"10/03/2013:10:15:21","so-splunky.local","_audit","/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1380818910_1379592197_9",,,103507801,"DB inspection","1383289320.000","54.351562","DB inspection",1,1,stash,"so-splunky.local",1379592197,warm,,,,25,0,"all_hosts","so-splunky.local",
"11/01/2013 00:02:01 -0700, search_name=""DB inspection"", search_now=1383289320.000, info_max_time=1383289320.000, info_search_time=1383289321.464, bucketId=""_audit~8~9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", endEpoch=1379592182, eventCount=34, guId=""9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", hostCount=1, id=8, orig_index=_audit, modTime=""09/19/2013:05:03:17"", orig_host=""so-splunky.local"", path=""/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1379592182_1379592152_8"", rawSize=10352, sizeOnDiskMB=""0.054688"", sourceCount=1, sourceTypeCount=1, startEpoch=1379592152, state=warm","2013-11-01T00:02:01.000-0700","_audit~8~9A13FFBA-883F-42DB-AD42-2651CCEAA43F",,0,1,2,november,1,friday,2013,"-420",1379592182,34,,"9A13FFBA-883F-42DB-AD42-2651CCEAA43F","so-splunky.local",1,8,summary,"1383289320.000","1383289321.464",1,"09/19/2013:05:03:17","so-splunky.local","_audit","/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1379592182_1379592152_8",,,10352,"DB inspection","1383289320.000","0.054688","DB inspection",1,1,stash,"so-splunky.local",1379592152,warm,,,,25,0,"all_hosts","so-splunky.local",
"11/01/2013 00:02:01 -0700, search_name=""DB inspection"", search_now=1383289320.000, info_max_time=1383289320.000, info_search_time=1383289321.464, bucketId=""_audit~7~9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", endEpoch=1379592134, eventCount=8398, guId=""9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", hostCount=1, id=7, orig_index=_audit, modTime=""09/19/2013:05:02:32"", orig_host=""so-splunky.local"", path=""/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1379592134_1379524291_7"", rawSize=2881968, sizeOnDiskMB=""1.828125"", sourceCount=1, sourceTypeCount=1, startEpoch=1379524291, state=warm","2013-11-01T00:02:01.000-0700","_audit~7~9A13FFBA-883F-42DB-AD42-2651CCEAA43F",,0,1,2,november,1,friday,2013,"-420",1379592134,8398,,"9A13FFBA-883F-42DB-AD42-2651CCEAA43F","so-splunky.local",1,7,summary,"1383289320.000","1383289321.464",1,"09/19/2013:05:02:32","so-splunky.local","_audit","/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1379592134_1379524291_7",,,2881968,"DB inspection","1383289320.000","1.828125","DB inspection",1,1,stash,"so-splunky.local",1379524291,warm,,,,25,0,"all_hosts","so-splunky.local",
"11/01/2013 00:02:01 -0700, search_name=""DB inspection"", search_now=1383289320.000, info_max_time=1383289320.000, info_search_time=1383289321.464, bucketId=""_audit~6~9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", endEpoch=1379524276, eventCount=13408, guId=""9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", hostCount=1, id=6, orig_index=_audit, modTime=""09/18/2013:10:11:32"", orig_host=""so-splunky.local"", path=""/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1379524276_1379455328_6"", rawSize=5620156, sizeOnDiskMB=""3.109375"", sourceCount=1, sourceTypeCount=1, startEpoch=1379455328, state=warm","2013-11-01T00:02:01.000-0700","_audit~6~9A13FFBA-883F-42DB-AD42-2651CCEAA43F",,0,1,2,november,1,friday,2013,"-420",1379524276,13408,,"9A13FFBA-883F-42DB-AD42-2651CCEAA43F","so-splunky.local",1,6,summary,"1383289320.000","1383289321.464",1,"09/18/2013:10:11:32","so-splunky.local","_audit","/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1379524276_1379455328_6",,,5620156,"DB inspection","1383289320.000","3.109375","DB inspection",1,1,stash,"so-splunky.local",1379455328,warm,,,,25,0,"all_hosts","so-splunky.local",
"11/01/2013 00:02:01 -0700, search_name=""DB inspection"", search_now=1383289320.000, info_max_time=1383289320.000, info_search_time=1383289321.464, bucketId=""_audit~5~9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", endEpoch=1379455312, eventCount=44, guId=""9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", hostCount=1, id=5, orig_index=_audit, modTime=""09/17/2013:15:02:08"", orig_host=""so-splunky.local"", path=""/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1379455312_1379455257_5"", rawSize=8575, sizeOnDiskMB=""0.054688"", sourceCount=1, sourceTypeCount=1, startEpoch=1379455257, state=warm","2013-11-01T00:02:01.000-0700","_audit~5~9A13FFBA-883F-42DB-AD42-2651CCEAA43F",,0,1,2,november,1,friday,2013,"-420",1379455312,44,,"9A13FFBA-883F-42DB-AD42-2651CCEAA43F","so-splunky.local",1,5,summary,"1383289320.000","1383289321.464",1,"09/17/2013:15:02:08","so-splunky.local","_audit","/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1379455312_1379455257_5",,,8575,"DB inspection","1383289320.000","0.054688","DB inspection",1,1,stash,"so-splunky.local",1379455257,warm,,,,25,0,"all_hosts","so-splunky.local",
"11/01/2013 00:02:01 -0700, search_name=""DB inspection"", search_now=1383289320.000, info_max_time=1383289320.000, info_search_time=1383289321.464, bucketId=""_audit~4~9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", endEpoch=1379375323, eventCount=420, guId=""9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", hostCount=1, id=4, orig_index=_audit, modTime=""09/17/2013:15:00:57"", orig_host=""so-splunky.local"", path=""/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1379375323_1379338701_4"", rawSize=171363, sizeOnDiskMB=""0.226562"", sourceCount=1, sourceTypeCount=1, startEpoch=1379338701, state=warm","2013-11-01T00:02:01.000-0700","_audit~4~9A13FFBA-883F-42DB-AD42-2651CCEAA43F",,0,1,2,november,1,friday,2013,"-420",1379375323,420,,"9A13FFBA-883F-42DB-AD42-2651CCEAA43F","so-splunky.local",1,4,summary,"1383289320.000","1383289321.464",1,"09/17/2013:15:00:57","so-splunky.local","_audit","/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1379375323_1379338701_4",,,171363,"DB inspection","1383289320.000","0.226562","DB inspection",1,1,stash,"so-splunky.local",1379338701,warm,,,,25,0,"all_hosts","so-splunky.local",
"11/01/2013 00:02:01 -0700, search_name=""DB inspection"", search_now=1383289320.000, info_max_time=1383289320.000, info_search_time=1383289321.464, bucketId=""_audit~3~9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", endEpoch=1379282187, eventCount=3369, guId=""9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", hostCount=1, id=3, orig_index=_audit, modTime=""09/16/2013:06:38:21"", orig_host=""so-splunky.local"", path=""/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1379282187_1379073339_3"", rawSize=1061809, sizeOnDiskMB=""0.691406"", sourceCount=1, sourceTypeCount=1, startEpoch=1379073339, state=warm","2013-11-01T00:02:01.000-0700","_audit~3~9A13FFBA-883F-42DB-AD42-2651CCEAA43F",,0,1,2,november,1,friday,2013,"-420",1379282187,3369,,"9A13FFBA-883F-42DB-AD42-2651CCEAA43F","so-splunky.local",1,3,summary,"1383289320.000","1383289321.464",1,"09/16/2013:06:38:21","so-splunky.local","_audit","/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1379282187_1379073339_3",,,1061809,"DB inspection","1383289320.000","0.691406","DB inspection",1,1,stash,"so-splunky.local",1379073339,warm,,,,25,0,"all_hosts","so-splunky.local",
"11/01/2013 00:02:01 -0700, search_name=""DB inspection"", search_now=1383289320.000, info_max_time=1383289320.000, info_search_time=1383289321.464, bucketId=""_audit~30~9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", endEpoch=1383289223, eventCount=11266, guId=""9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", hostCount=1, id=30, orig_index=_audit, modTime=""11/01/2013:00:02:01"", orig_host=""so-splunky.local"", path=""/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/hot_v1_30"", rawSize=2415718, sizeOnDiskMB=""1.738281"", sourceCount=1, sourceTypeCount=1, startEpoch=1383249323, state=hot","2013-11-01T00:02:01.000-0700","_audit~30~9A13FFBA-883F-42DB-AD42-2651CCEAA43F",,0,1,2,november,1,friday,2013,"-420",1383289223,11266,,"9A13FFBA-883F-42DB-AD42-2651CCEAA43F","so-splunky.local",1,30,summary,"1383289320.000","1383289321.464",1,"11/01/2013:00:02:01","so-splunky.local","_audit","/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/hot_v1_30",,,2415718,"DB inspection","1383289320.000","1.738281","DB inspection",1,1,stash,"so-splunky.local",1383249323,hot,,,,25,0,"all_hosts","so-splunky.local",
"11/01/2013 00:02:01 -0700, search_name=""DB inspection"", search_now=1383289320.000, info_max_time=1383289320.000, info_search_time=1383289321.464, bucketId=""_audit~2~9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", endEpoch=1379073326, eventCount=4180, guId=""9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", hostCount=1, id=2, orig_index=_audit, modTime=""09/13/2013:04:55:39"", orig_host=""so-splunky.local"", path=""/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1379073326_1379036780_2"", rawSize=785978, sizeOnDiskMB=""0.585938"", sourceCount=1, sourceTypeCount=1, startEpoch=1379036780, state=warm","2013-11-01T00:02:01.000-0700","_audit~2~9A13FFBA-883F-42DB-AD42-2651CCEAA43F",,0,1,2,november,1,friday,2013,"-420",1379073326,4180,,"9A13FFBA-883F-42DB-AD42-2651CCEAA43F","so-splunky.local",1,2,summary,"1383289320.000","1383289321.464",1,"09/13/2013:04:55:39","so-splunky.local","_audit","/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1379073326_1379036780_2",,,785978,"DB inspection","1383289320.000","0.585938","DB inspection",1,1,stash,"so-splunky.local",1379036780,warm,,,,25,0,"all_hosts","so-splunky.local",
"11/01/2013 00:02:01 -0700, search_name=""DB inspection"", search_now=1383289320.000, info_max_time=1383289320.000, info_search_time=1383289321.464, bucketId=""_audit~29~9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", endEpoch=1383249307, eventCount=3831, guId=""9A13FFBA-883F-42DB-AD42-2651CCEAA43F"", hostCount=1, id=29, orig_index=_audit, modTime=""10/31/2013:12:55:23"", orig_host=""so-splunky.local"", path=""/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1383249307_1383216769_29"", rawSize=1147609, sizeOnDiskMB=""0.734375"", sourceCount=1, sourceTypeCount=1, startEpoch=1383216769, state=warm","2013-11-01T00:02:01.000-0700","_audit~29~9A13FFBA-883F-42DB-AD42-2651CCEAA43F",,0,1,2,november,1,friday,2013,"-420",1383249307,3831,,"9A13FFBA-883F-42DB-AD42-2651CCEAA43F","so-splunky.local",1,29,summary,"1383289320.000","1383289321.464",1,"10/31/2013:12:55:23","so-splunky.local","_audit","/Applications/splunk/upgrade-5.0/var/lib/splunk/audit/db/db_1383249307_1383216769_29",,,1147609,"DB inspection","1383289320.000","0.734375","DB inspection",1,1,stash,"so-splunky.local",1383216769,warm,,,,25,0,"all_hosts","so-splunky.local",
